,P0,DeltaG,DeltaH,DeltaH_0,P0_std,DeltaG_std,DeltaH_std,DeltaH_0_std
Mg1EDTAp1a,0.0791658457935531,-9.053550062326456,-2.3414633830540224,-0.9215509596096407,0.10000031425080526,0.11735379360156696,0.10137168187494984,0.11246027185150327
Mg1EDTAp1b,0.08296707102975867,-9.046410091526479,-2.302566795169848,-0.8673056028605275,0.10000010823741765,0.10689699760326253,0.10046933743366775,0.06696190328927568
Mg1EDTAp1c,0.08337597852410711,-9.019794062284785,-2.2444379463348487,-0.6733335863854019,0.1000001393792636,0.10835511216351466,0.10056237862823296,0.07347093699286905
Mg1EDTAp1d,0.10480313314423927,-9.135250488543274,-2.2952853656551033,-1.0111397523752332,0.10000143999557129,0.1589296168342691,0.10514619459032369,0.26246705389441954
Mg1EDTAp1e,0.0938227255854399,-9.342370861655239,-2.290734399489725,-1.172340909254752,0.10000122365501181,0.18417876447791412,0.10543120755793627,0.2543683934065467
Mgp5EDTAp05a,0.05714774536972115,-8.98196547609706,-2.2908686047087166,-0.877368144102196,0.10000072480517129,0.14641653747125175,0.10729309205997137,0.1543190902806455
Mgp5EDTAp05b,0.04892995729978682,-8.805185207640365,-2.236111773144805,-0.5884461006274483,0.10000033336847136,0.12160269903251164,0.10330656147354113,0.09091125435916153
Mgp5EDTAp05c,0.05280802894436336,-8.998321256605434,-2.161283661293298,-0.681707576144386,0.10000065328322015,0.14701852223085654,0.10617148921562031,0.13443722001694286
Mgp5EDTAp05e,0.03964971976855942,-8.773696790531362,-2.8966700799581613,-2.405997582698582,0.10000193463716545,0.2090540867920219,0.13397570970634137,0.26699228144310067
Mgp5EDTAp05f,0.04839581398246579,-9.049597882052447,-2.1564887922727567,-0.8170880052396279,0.10000045366764787,0.14021457844651475,0.10467644225500189,0.11048223229432298
Mgp5EDTAp05g,0.04705808343112692,-8.865090015956195,-2.0658557674114446,-0.49013647162326834,0.10000076562074514,0.15051890215008795,0.10676573470099704,0.12839006496309885
Mgp5EDTAp05h,0.050536582899561755,-9.323175303202465,-1.9222087303910578,-0.5880184452495343,0.10000144531878907,0.2354517962832181,0.11265859067213402,0.19463383548742988
Mgp5EDTAp05i,0.04984303846739186,-8.924359099551003,-2.174725918504494,-0.6237597338659776,0.1000003201203411,0.12410189311472306,0.1031188390376417,0.09056351114330798
Mgp5EDTAp05j,0.05161051433925739,-8.940715416651184,-2.1342876343187593,-0.711435141100914,0.10000045373966378,0.1325934406451669,0.10417432236537046,0.1077284437657083
